nuts2_id,nuts2_gdp
AL01,3142.06
AL02,6735.64
AL03,3766.97
AT11,9272.61
AT12,61706.24
AT13,100347.32
AT21,21505.55
AT22,50830.4
AT31,68379.88
AT32,29851.8
AT33,36382.23
AT34,19162.79
ATZZ,135.37
BE10,86650.96
BE21,92088.05
BE22,29502.49
BE23,57559.8
BE24,51750.71
BE25,48326.21
BE31,21024.43
BE32,35041.21
BE33,32720.15
BE34,7351.08
BE35,13906.75
BEZZ,281.46
BG31,3938.63
BG32,4557.31
BG33,6307.94
BG34,6818.65
BG41,30951.19
BG42,8665.82
CY00,22286.88
CZ01,61005.97
CZ02,25997.95
CZ03,21832.59
CZ04,16272.14
CZ05,25972.4
CZ06,32055.14
CZ07,20688.6
CZ08,20125.54
DE11,224062.29
DE12,128374.98
DE13,89751.37
DE14,83008.99
DE21,280479.47
DE22,49462.71
DE23,48206.08
DE24,41895.97
DE25,82247.03
DE26,55274.46
DE27,77042.86
DE30,154672.63
DE40,74838.1
DE50,33779.44
DE60,124075.6
DE71,212495.12
DE72,37151.08
DE73,45886.65
DE80,46711.17
DE91,80135.43
DE92,85381.57
DE93,49593.81
DE94,92399.47
DEA1,221024.09
DEA2,197110.21
DEA3,89552.1
DEA4,80219.09
DEA5,127948.77
DEB1,51080.43
DEB2,16493.87
DEB3,77755.09
DEC0,36382.55
DED2,51382.72
DED4,42196.54
DED5,35045.25
DEE0,63725.12
DEF0,98261.1
DEG0,63946.76
DK01,126934.24
DK02,30909.62
DK03,58664.66
DK04,65703.05
DK05,26559.43
DKZZ,3976.21
EE00,28112.39
EL30,87772.36
EL41,2531.61
EL42,6388.31
EL43,9293.01
EL51,6977.49
EL52,25153.35
EL53,3767.34
EL54,4006.46
EL61,9339.13
EL62,3314.09
EL63,8070.48
EL64,8552.28
EL65,8247.6
ES11,64429.89
ES12,23765.12
ES13,14187.41
ES21,74496.02
ES22,20973.51
ES23,8866.58
ES24,38044.04
ES30,240129.72
ES41,59794.83
ES42,42820.22
ES43,20676.92
ES51,236814.4
ES52,116015.25
ES53,33799.28
ES61,165865.23
ES62,32356.07
ES63,1765.16
ES64,1621.83
ES70,47164.2
ESZZ,1185.22
FI19,52966.94
FI1B,94961.07
FI1C,44755.99
FI1D,46441.87
FI20,1358.82
FIZZ,76.31
FR10,742569.25
FRB0,76329.73
FRC1,48844.75
FRC2,31259.9
FRD1,41141.49
FRD2,55728.43
FRE1,119905.84
FRE2,50806.76
FRF1,63535.95
FRF2,40078.9
FRF3,60727.92
FRG0,121220.27
FRH0,101355.39
FRI1,109711.2
FRI2,18785.25
FRI3,53041.49
FRJ1,76055.82
FRJ2,103766.91
FRK1,40673.86
FRK2,242822.87
FRL0,170603.5
FRM0,9780.82
FRY1,10079.5
FRY2,9132.86
FRY3,4353.52
FRY4,19679.43
FRY5,2639.72
FRZZ,1076.68
HR03,17546.29
HR04,36691.62
HU11,54092.58
HU12,15339.24
HU21,14577.66
HU22,14412.53
HU23,9033.9
HU31,11195.25
HU32,14002.11
HU33,13408.56
IE04,25495.08
IE05,147154.13
IE06,183402.02
ITC1,137781.87
ITC2,4868.04
ITC3,49740.73
ITC4,398779.09
ITF1,33130.95
ITF2,6489.57
ITF3,109630.67
ITF4,77475.32
ITF5,13089.85
ITF6,33619.41
ITG1,89365.04
ITG2,35255.67
ITH1,25515.9
ITH2,20967.26
ITH3,164860.15
ITH4,38771.59
ITH5,163751.09
ITI1,118727.3
ITI2,23267.08
ITI3,42391.85
ITI4,200839.55
ITZZ,1428.91
LT01,20678.7
LT02,28118.78
LU00,63516.34
LV00,30424.23
LVZZ,39.09
ME00,4950.72
MK00,11209.06
MT00,13442
MTZZ,20.41
NL11,24669.25
NL12,20727.69
NL13,15701.17
NL21,45517
NL22,81757.36
NL23,14756.45
NL31,75838.85
NL32,177732.61
NL33,170723.53
NL34,14390.68
NL41,120868.9
NL42,45847.99
NLZZ,1715.53
NO01,98928.53
NO02,17159.68
NO03,44598.68
NO04,42630.87
NO05,49689.26
NO06,25180.13
NO07,26040.3
NOZZ,66066.9
PL21,43214.82
PL22,64176.21
PL41,52576.23
PL42,19566.37
PL43,11418.35
PL51,44023.4
PL52,10773.39
PL61,22908.44
PL62,13547.82
PL63,31567.19
PL71,32130.6
PL72,12284.38
PL81,20023.61
PL82,20714.63
PL84,11794.04
PL91,93558.06
PL92,28051.69
PT11,63279.17
PT15,10157.64
PT16,39999.2
PT17,76767.6
PT18,13408.43
PT20,4469.05
PT30,5069.44
PTZZ,150.53
RO11,26835.53
RO12,25263.18
RO21,23123.11
RO22,22802.19
RO31,26067.46
RO32,61169.4
RO41,17099.28
RO42,20803.2
ROZZ,174.08
RS11,19151.08
RS12,12188.15
RS21,8318.78
RS22,6289.99
RSZZ,22.42
SE11,152808.83
SE12,66827.36
SE21,33683.27
SE22,60233.99
SE23,91350.51
SE31,31358.24
SE32,14834.18
SE33,23271.8
SEZZ,100.01
SI03,21015.96
SI04,27376.59
SK01,26379.56
SK02,28890.8
SK03,18834.04
SK04,19760.78
TR10,208791.02
TR21,17712.61
TR22,13125.24
TR31,41372.43
TR32,22799.24
TR33,21645.14
TR41,37732.87
TR42,40303.95
TR51,62243.36
TR52,16139.67
TR61,28218.19
TR62,25379.29
TR63,16820.16
TR71,9252.12
TR72,15173.32
TR81,5967.77
TR82,4630.24
TR83,14488.41
TR90,14935.66
TRA1,5835.2
TRA2,4095.9
TRB1,8684.94
TRB2,7388.44
TRC1,14989.71
TRC2,12131.71
TRC3,9653.76
