unit,age,sex,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
NR,TOTAL,T,BE25	1155290 	1159366 	1168002 b	1172795 b	1175903 	1177935 b	1180957 	1184418 	1188407 	1192254 	1196995 	1202352 
NR,TOTAL,T,BE31	375645 	379515 	383648 b	386683 b	389308 	391609 b	394344 	397745 	399735 	401508 	404270 	406794 
NR,TOTAL,T,BE32	1304436 	1309880 	1319745 b	1325819 b	1331455 	1334423 b	1337780 	1341267 	1342053 	1343756 	1346082 	1350295 
NR,TOTAL,T,BE33	1060035 	1067685 	1082136 b	1088074 b	1093191 	1095661 b	1098903 	1103490 	1106039 	1108371 	1110068 	1113943 
NR,TOTAL,T,BE34	266950 	269023 	273205 b	275713 b	277690 	278219 b	280261 	283257 	284617 	285010 	286685 	289606 
NR,TOTAL,T,BE35	468605 	472281 	479386 b	482728 b	484880 	486230 b	488876 	492074 	494127 	495158 	496891 	499433 
NR,TOTAL,T,BG31	881573 	865332 	848230 	836601 	823469 	810401 	797142 	783909 	769623 	755956 	742304 	728157 
NR,TOTAL,T,BG32	884857 	873801 	862120 	853468 	844511 	835813 	825536 	815441 	805441 	794998 	784168 	773450 
NR,TOTAL,T,BG33	976062 	971932 	966328 	961965 	957460 	954536 	949957 	944458 	939262 	933705 	929035 	924870 
NR,TOTAL,T,BG34	1094253 	1087181 	1078597 	1072850 	1067981 	1063690 	1058515 	1052575 	1046125 	1039549 	1032079 	1024115 
NR,TOTAL,T,BG41	2129855 	2132634 	2133731 	2131233 	2128783 	2127618 	2125212 	2121185 	2115344 	2108394 	2102205 	2094260 
NR,TOTAL,T,BG42	1500519 	1490886 	1480425 	1471107 	1462348 	1453619 	1445836 	1436216 	1426064 	1417432 	1410248 	1406630 
NR,TOTAL,T,CH01	1437592 	1462210 	1483680 b	1503500 	1519189 	1545817 	1570594 	1593839 	1613522 	1629841 	1642580 	1654751 
NR,TOTAL,T,CH02	1730412 	1741923 	1755696 b	1770429 	1788791 	1808480 	1826251 	1842251 	1859557 	1868886 	1877154 	1886584 
NR,TOTAL,T,CH03	1049518 	1060753 	1070820 b	1079913 	1091302 	1104353 	1117158 	1128723 	1142156 	1151919 	1161105 	1171157 
NR,TOTAL,T,CH04	1332727 	1351297 	1373068 b	1392396 	1408575 	1425538 	1446354 	1466424 	1487969 	1504346 	1520968 	1539275 
NR,TOTAL,T,CH05	1085698 	1094202 	1103641 b	1113929 	1123672 	1134781 	1144572 	1153485 	1162684 	1169358 	1176321 	1183813 
NR,TOTAL,T,CH06	733173 	739701 	749476 b	757552 	765879 	774123 	782374 	790458 	799287 	806071 	813056 	818962 
NR,TOTAL,T,CH07	332736 	335720 	333753 b	336943 	341652 	346539 	350363 	351946 	354375 	353709 	353343 	351491 
NR,TOTAL,T,CY00	796930 	819140 b	839751 	862011 	865878 	858000 	847008 	848319 	854802 	864236 	875899 	888005 
NR,TOTAL,T,CZ01	1214300 	1227932 	1234037 	1241664 	1246780 	1243201 	1259079 	1267449 	1280508 	1294513 	1308632 	1324277 
NR,TOTAL,T,CZ02	1230405 	1247330 	1264986 	1279345 	1291816 	1302336 	1315299 	1326876 	1338982 	1352795 	1369332 	1385141 
NR,TOTAL,T,CZ03	1202477 	1205834 	1207027 	1207847 	1209298 	1210176 	1212423 	1214450 	1217411 	1221012 	1226805 	1233982 
NR,TOTAL,T,CZ04	1134887 	1133425 	1132252 	1131191 	1128490 	1125429 	1123265 	1120654 	1118126 	1116766 	1115685 	1115629 
NR,TOTAL,T,CZ05	1503865 	1506467 	1508735 	1508867 	1507980 	1506503 	1506813 	1507209 	1508527 	1510726 	1513693 	1517999 
NR,TOTAL,T,CZ06	1666778 	1671993 	1675872 	1678250 	1679857 	1680287 	1682748 	1684500 	1687764 	1692123 	1696941 	1701802 
NR,TOTAL,T,CZ07	1230437 	1229931 	1229117 	1227668 	1225302 	1222655 	1220972 	1219394 	1217623 	1216234 	1215413 	1214570 
NR,TOTAL,T,CZ08	1242634 	1239176 	1234705 	1230613 	1226602 	1221832 	1217676 	1213311 	1209879 	1205886 	1203299 	1200539 
NR,TOTAL,T,DE11	4006313 	4000848 	3910637 b	3924922 	3947568 	3972881 	4008288 	4069533 	4098278 	4126688 	4143418 	4154223 
NR,TOTAL,T,DE12	2740164 	2740503 	2663588 b	2671524 	2686573 	2702831 	2721266 	2761977 	2779314 	2795783 	2805129 	2810854 
NR,TOTAL,T,DE13	2195681 	2196018 	2142723 b	2150906 	2162340 	2174500 	2191622 	2224535 	2239734 	2254674 	2264469 	2271351 
NR,TOTAL,T,DE14	1807348 	1807552 	1761557 b	1765089 	1772630 	1781066 	1795468 	1823573 	1834567 	1846280 	1856517 	1863966 
NR,TOTAL,T,DE21	4335137 	4346465 	4313946 b	4363176 	4415649 	4469342 	4519979 	4588944 	4633323 	4649534 	4686163 	4710865 
NR,TOTAL,T,DE22	1191910 	1189194 	1172475 b	1175923 	1181472 	1189153 	1197558 	1212119 	1219397 	1230037 	1238528 	1244169 
NR,TOTAL,T,DE23	1083780 	1081417 	1071424 b	1072091 	1074738 	1077991 	1082761 	1092339 	1098378 	1104407 	1109269 	1112102 
NR,TOTAL,T,DE24	1082516 	1076400 	1065322 b	1061573 	1058711 	1056365 	1055955 	1059358 	1062394 	1066840 	1067482 	1065371 
NR,TOTAL,T,DE25	1712405 	1710145 	1679849 b	1688414 	1698515 	1707376 	1715195 	1738686 	1750059 	1759643 	1770401 	1775169 
NR,TOTAL,T,DE26	1327497 	1321957 	1302144 b	1299076 	1297727 	1297992 	1298849 	1306048 	1309209 	1313375 	1317124 	1317619 
NR,TOTAL,T,DE27	1786483 	1784753 	1778244 b	1783119 	1792759 	1806025 	1821271 	1846020 	1857991 	1873368 	1887754 	1899442 
NR,TOTAL,T,DE30	3431675 	3442675 	3278346 b	3326002 	3375222 	3421829 	3469849 	3520031 	3574830 	3613495 	3644826 	3669491 
NR,TOTAL,T,DE40	2522493 	2511525 	2461242 b	2453180 	2449511 	2449193 	2457872 	2484826 	2494648 	2504040 	2511917 	2521893 
NR,TOTAL,T,DE50	661866 	661716 	651467 b	652182 	654774 	657391 	661888 	671489 	678753 	681032 	682986 	681202 
NR,TOTAL,T,DE60	1772100 	1774224 	1705700 b	1718187 	1734272 	1746342 	1762791 	1787408 	1810438 	1830584 	1841179 	1847253 
NR,TOTAL,T,DE71	3784767 	3792941 	3734199 b	3763611 	3791381 	3822479 	3863818 	3922369 	3951234 	3978050 	3998724 	4019961 
NR,TOTAL,T,DE72	1048683 	1044269 	1027159 b	1025525 	1023277 	1023150 	1029020 	1040091 	1043643 	1045807 	1047262 	1048646 
NR,TOTAL,T,DE73	1231503 	1224741 	1208050 b	1204635 	1201823 	1199796 	1201050 	1213712 	1218211 	1219405 	1219823 	1219473 
NR,TOTAL,T,DE80	1664356 	1651216 	1614789 b	1606899 	1600327 	1596505 	1599138 	1612362 	1610674 	1611119 	1609675 	1608138 
NR,TOTAL,T,DE91	1623649 	1616720 	1579623 b	1575968 	1574527 	1574936 	1579754 	1598164 	1595609 	1595734 	1596396 	1594929 
NR,TOTAL,T,DE92	2149181 	2142440 	2093945 b	2093431 	2094931 	2099079 	2108413 	2132290 	2139976 	2144120 	2149805 	2148238 
NR,TOTAL,T,DE93	1696643 	1693654 	1669999 b	1667127 	1667332 	1670199 	1677715 	1699969 	1703945 	1706464 	1710914 	1716448 
NR,TOTAL,T,DE94	2477771 	2476001 	2435261 b	2437727 	2442205 	2446345 	2460857 	2496176 	2506155 	2516457 	2525333 	2533993 
NR,TOTAL,T,DEA1	5191042 	5172839 	5081231 b	5077103 	5081061 	5088748 	5108290 	5173623 	5190790 	5198820 	5202321 	5207457 
NR,TOTAL,T,DEA2	4386271 	4383044 	4282911 b	4299064 	4315912 	4333015 	4361724 	4422371 	4439416 	4454228 	4468904 	4478847 
NR,TOTAL,T,DEA3	2605365 	2597636 	2568358 b	2572221 	2572390 	2574148 	2580664 	2614229 	2619376 	2621153 	2623619 	2624625 
NR,TOTAL,T,DEA4	2050638 	2043212 	2031337 b	2027126 	2025415 	2024392 	2029648 	2057996 	2054205 	2054343 	2055310 	2055724 
NR,TOTAL,T,DEA5	3699748 	3676032 	3581355 b	3569424 	3559551 	3551553 	3557772 	3597297 	3586313 	3583590 	3582497 	3580568 
NR,TOTAL,T,DEB1	1499457 	1490711 	1486160 b	1480166 	1476237 	1474378 	1477202 	1488308 	1492187 	1493055 	1495885 	1498223 
NR,TOTAL,T,DEB2	515322 	513794 	518554 b	518370 	518289 	519136 	521863 	532715 	528728 	529597 	531007 	533113 
NR,TOTAL,T,DEB3	2013572 	2008170 	1989471 b	1991497 	1995752 	2000852 	2012517 	2031780 	2045138 	2051027 	2057952 	2062567 
NR,TOTAL,T,DEC0	1030324 	1022585 	1001879 b	997855 	994287 	990718 	989035 	995597 	996651 	994187 	990509 	986887 
NR,TOTAL,T,DED2	1638111 	1631486 	1594568 b	1591710 	1591320 	1590927 	1592765 	1602754 	1600155 	1598573 	1598199 	1596566 
NR,TOTAL,T,DED4	: 	: 	1505254 b	1491442 	1480210 	1468954 	1463341 	1465612 	1454144 	1444953 	1436445 	1426380 
NR,TOTAL,T,DED5	: 	: 	966434 b	971030 	978674 	986504 	999168 	1016485 	1027484 	1037782 	1043293 	1049025 
NR,TOTAL,T,DEE0	2381872 	2356219 	2297386 b	2276736 	2259393 	2244577 	2235548 	2245470 	2236252 	2223081 	2208321 	2194782 
NR,TOTAL,T,DEF0	2834260 	2832027 	2800134 b	2802266 	2806531 	2815955 	2830864 	2858714 	2881926 	2889821 	2896712 	2903773 
NR,TOTAL,T,DEG0	2267763 	2249882 	2195344 b	2181603 	2170460 	2160840 	2156759 	2170714 	2158128 	2151205 	2143145 	2133378 
NR,TOTAL,T,DK01	1662285 	1680271 	1699387 	1714589 	1732068 	1749405 	1768125 	1789174 	1807404 	1822659 	1835562 	1846023 
NR,TOTAL,T,DK02	821252 	820564 	819763 	817907 	816359 	816726 	820480 	827499 	832553 	835024 	836738 	837359 
NR,TOTAL,T,DK03	1199667 	1200277 	1200656 	1201342 	1201419 	1202509 	1205728 	1211770 	1217224 	1220763 	1223348 	1223105 
NR,TOTAL,T,DK04	1247732 	1253998 	1260993 	1266682 	1272510 	1277538 	1282750 	1293309 	1304253 	1313596 	1320678 	1326340 
NR,TOTAL,T,DK05	580515 	579628 	579829 	579996 	580272 	581057 	582632 	585499 	587335 	589148 	589755 	589936 
NR,TOTAL,T,EE00	1335740 	1333290 	1329660 	1325217 	1320174 	1315819 	1314870 b	1315944 	1315635 	1319133 	1324820 	1328976 
NR,TOTAL,T,EL30	3999457 	4002871 	3992912 	3963887 	3912849 	3863763 	3822843 	3781274 	3773559 	3756453 	3742235 	3738901 
NR,TOTAL,T,EL41	199517 	200179 	200831 	200591 	199478 	198581 	197695 	196654 	203700 	211137 	221098 	229516 
NR,TOTAL,T,EL42	331815 	332652 	333983 	334780 	334652 	334802 	334865 	334791 	338383 	340870 	344027 	347512 
NR,TOTAL,T,EL43	618317 	623113 	627144 	629367 	630085 	630889 	631513 	631812 	632674 	633506 	634930 	636504 
NR,TOTAL,T,EL51	608639 	610112 	611573 	612074 	610102 	608214 	606490 	604504 	602799 	601175 	599723 	598613 
NR,TOTAL,T,EL52	1913980 	1921906 	1925437 	1922590 	1912624 	1903360 	1893878 	1883339 	1880122 	1875996 	1873777 	1872102 
NR,TOTAL,T,EL53	286672 	286450 	285899 	284061 	281324 	278706 	276423 	273843 	271488 	269222 	267008 	264670 
NR,TOTAL,T,EL54	345167 	345960 	346503 	345437 	343128 	341046 	339142 	336834 	335250 	334337 	333696 	333265 
NR,TOTAL,T,EL61	745569 	746976 	747690 	745839 	741593 	737686 	733663 	729442 	725874 	722065 	718640 	715115 
NR,TOTAL,T,EL62	208161 	208675 	209221 	209131 	208241 	207664 	207059 	206141 	205431 	204562 	203869 	203149 
NR,TOTAL,T,EL63	692990 	692269 	690904 	687935 	682583 	677727 	673263 	668258 	663970 	659470 	655189 	651065 
NR,TOTAL,T,EL64	557291 	559655 	561693 	561670 	560093 	559214 	557753 	555830 	555761 	555623 	555960 	556002 
NR,TOTAL,T,EL65	587170 	588471 	589602 	589044 	586863 	585155 	583431 	581026 	579182 	576749 	574447 	572151 
NR,TOTAL,T,ES11	2767469 	2772466 	2773411 	2771916 	2761989 	2747226 	2734656 	2720102 	2710216 	2703149 	2700441 	2702592 
NR,TOTAL,T,ES12	1076276 	1077102 	1075869 	1074308 	1067797 	1058975 	1049875 	1040925 	1034302 	1027624 	1022205 	1018899 
NR,TOTAL,T,ES13	584657 	588512 	590867 	592383 	590036 	587682 	585359 	582504 	581490 	581294 	581641 	582388 
NR,TOTAL,T,ES21	2174077 	2179521 	2183136 	2184696 	2177006 	2167166 	2165100 	2164066 	2167323 	2170868 	2177880 	2189138 
NR,TOTAL,T,ES22	627286 	633023 	637100 	640014 	638948 	636450 	636402 	637486 	640353 	643866 	649946 	656509 
NR,TOTAL,T,ES23	319788 	319934 	320858 	320951 	318647 	315223 	313569 	312810 	312624 	312884 	313571 	315931 
NR,TOTAL,T,ES24	1342788 	1344181 	1344385 	1343807 	1338316 	1331301 	1326403 	1318571 	1316072 	1313135 	1320586 	1330333 
NR,TOTAL,T,ES30	6327559 	6373546 	6394252 	6425522 	6414620 	6378297 	6385298 	6424275 	6476838 	6549520 	6641649 	6747068 
NR,TOTAL,T,ES41	2549172 	2547401 	2545301 	2537685 	2518560 	2495689 	2478079 	2454454 	2435951 	2418556 	2407733 	2401307 
NR,TOTAL,T,ES42	2066428 	2084468 	2099064 	2105935 	2094406 	2075197 	2062767 	2048900 	2040977 	2032595 	2034877 	2045554 
NR,TOTAL,T,ES43	1094693 	1099610 	1102299 	1104336 	1100970 	1096421 	1091623 	1084969 	1077525 	1070453 	1065424 	1061979 
NR,TOTAL,T,ES51	7427092 	7463488 	7493263 	7514991 	7480921 	7416237 	7396991 	7408290 	7441284 	7488718 	7566431 	7652348 
NR,TOTAL,T,ES52	4981284 	4989631 	4999192 	5009650 	4987011 	4956427 	4939674 	4932347 	4935182 	4946233 	4974969 	5029341 
NR,TOTAL,T,ES53	1070167 	1083679 	1091664 	1100715 	1110112 	1115841 	1124972 	1135527 	1150962 	1166923 	1188220 	1210725 
NR,TOTAL,T,ES61	8212968 	8276008 	8332080 	8377810 	8393175 	8388875 	8399618 	8403774 	8408976 	8410095 	8427405 	8478083 
NR,TOTAL,T,ES62	1441787 	1453543 	1459075 	1461925 	1461983 	1461803 	1463773 	1466474 	1472991 	1475569 	1487663 	1504869 
NR,TOTAL,T,ES63	76927 	79294 	81621 	83845 	84539 	84674 	84692 	84652 	85034 	85209 	84829 	84085 
NR,TOTAL,T,ES64	73365 	76049 	78866 	81792 	83620 	83870 	84570 	84764 	84946 	84708 	84689 	84473 
NR,TOTAL,T,ES70	2025490 	2045163 	2064871 	2085938 	2105234 	2114845 	2126144 	2135209 	2154978 	2177048 	2206901 	2236992 
NR,TOTAL,T,FI19	1349600 	1355168 	1360041 	1365259 	1370384 	1374403 	1377281 	1379116 	1380593 	1380365 	1379749 	1378652 
NR,TOTAL,T,FI1B	1501511 	1517542 	1532309 	1549058 	1566835 	1585473 	1603388 	1620261 	1638293 	1655624 	1671024 	1689725 
NR,TOTAL,T,FI1C	1151466 	1153839 	1156791 	1159039 	1160732 	1161882 	1161706 	1160491 	1159174 	1157001 	1152719 	1148794 
NR,TOTAL,T,FI1D	1296281 	1297144 	1298128 	1299557 	1300222 	1300846 	1300462 	1298457 	1296023 	1290651 	1284638 	1278237 
NR,TOTAL,T,FI20	27456 	27734 	28007 	28354 	28501 	28666 	28916 	28983 	29214 	29489 	29789 	29884 
NR,TOTAL,T,FR10	11728240 	11786234 	11852851 	11898502 	11959807 	12027565 	12082144 	12117132 	12174880 	12213447 	12252917 	12291557 
NR,TOTAL,T,FRB0	2538590 	2548065 	2556835 	2563586 	2570548 	2577435 	2578592 	2577866 	2576252 	2572853 	2569510 	2565726 
