nuts3_id,nuts3_population
AL011,115857
AL012,290697
AL013,75428
AL014,122700
AL015,200007
AL021,270074
AL022,906166
AL031,122003
AL032,289889
AL033,59381
AL034,204831
AL035,188922
AT111,37384
AT112,160064
AT113,96988
AT121,247347
AT122,261156
AT123,156363
AT124,216681
AT125,125210
AT126,332957
AT127,344573
AT130,1911191
AT211,288814
AT212,123824
AT213,148655
AT221,447142
AT222,79652
AT223,158397
AT224,266971
AT225,194992
AT226,99241
AT311,289509
AT312,595637
AT313,210133
AT314,155844
AT315,239156
AT321,20251
AT322,168822
AT323,369337
AT331,32838
AT332,312414
AT333,48738
AT334,104860
AT335,258784
AT341,92362
AT342,304777
BE100,1223364
BE211,1059946
BE212,347576
BE213,465573
BE221,432163
BE222,243104
BE223,205335
BE231,293832
BE232,202502
BE233,85868
BE234,563982
BE235,124661
BE236,255641
BE241,644543
BE242,511927
BE251,283079
BE252,51724
BE253,106928
BE254,292690
BE255,157925
BE256,154619
BE257,93595
BE258,61792
BE310,406794
BE321,87388
BE322,432660
BE323,259406
BE324,77688
BE325,192708
BE326,152509
BE327,147936
BE331,114036
BE332,628363
BE334,82005
BE335,211131
BE336,78408
BE341,63642
BE342,50228
BE343,57734
BE344,63821
BE345,54181
BE351,112757
BE352,319132
BE353,67544
BG311,82835
BG312,127001
BG313,159470
BG314,236305
BG315,122546
BG321,232568
BG322,106598
BG323,215477
BG324,110789
BG325,108018
BG331,469885
BG332,171809
BG333,172262
BG334,110914
BG341,409265
BG342,184119
BG343,117335
BG344,313396
BG411,1328790
BG412,226671
BG413,302694
BG414,119190
BG415,116915
BG421,666801
BG422,225317
BG423,252776
BG424,103532
BG425,158204
CH011,805098
CH012,345525
CH013,504128
CH021,1039474
CH022,321783
CH023,275247
CH024,176496
CH025,73584
CH031,195844
CH032,289468
CH033,685845
CH040,1539275
CH051,40590
CH052,82348
CH053,55445
CH054,16128
CH055,510734
CH056,199021
CH057,279547
CH061,413120
CH062,36703
CH063,160480
CH064,37930
CH065,43087
CH066,127642
CH070,351491
CY000,888005
CZ010,1324277
CZ020,1385141
CZ031,644083
CZ032,589899
CZ041,294664
CZ042,820965
CZ051,443690
CZ052,551647
CZ053,522662
CZ063,509813
CZ064,1191989
CZ071,632015
CZ072,582555
CZ080,1200539
DE111,635911
DE112,392807
DE113,535024
DE114,258145
DE115,545423
DE116,427248
DE117,126592
DE118,344456
DE119,112655
DE11A,196761
DE11B,132399
DE11C,132777
DE11D,314025
DE121,55185
DE122,312060
DE123,445101
DE124,231420
DE125,161485
DE126,310658
DE127,143633
DE128,548355
DE129,125957
DE12A,159201
DE12B,199556
DE12C,118243
DE131,231195
DE132,263601
DE133,166408
DE134,430953
DE135,139878
DE136,212506
DE137,140766
DE138,286305
DE139,228736
DE13A,171003
DE141,287034
DE142,228678
DE143,189363
DE144,126790
DE145,197076
DE146,201282
DE147,217470
DE148,285424
DE149,130849
DE211,137392
DE212,1484226
DE213,63551
DE214,111516
DE215,105929
DE216,127917
DE217,154899
DE218,143649
DE219,132881
DE21A,138182
DE21B,180007
DE21C,219311
DE21D,88424
DE21E,120302
DE21F,100010
DE21G,115872
DE21H,350473
DE21I,97303
DE21J,128227
DE21K,261330
DE21L,136667
DE21M,177319
DE21N,135478
DE221,73411
DE222,52803
DE223,47791
DE224,119478
DE225,78362
DE226,123058
DE227,159895
DE228,192656
DE229,77410
DE22A,121502
DE22B,101120
DE22C,96683
DE231,42207
DE232,153094
DE233,42743
DE234,103049
DE235,127998
DE236,134573
DE237,94450
DE238,194070
DE239,147872
DE23A,72046
DE241,77373
DE242,74783
DE243,41072
DE244,45825
DE245,147163
DE246,103664
DE247,86747
DE248,116203
DE249,94801
DE24A,66743
DE24B,71566
DE24C,66776
DE24D,72655
DE251,41798
DE252,112528
DE253,128497
DE254,518370
DE255,40981
DE256,184591
DE257,137262
DE258,117853
DE259,170792
DE25A,101014
DE25B,126749
DE25C,94734
DE261,71002
DE262,53426
DE263,127934
DE264,174200
DE265,103235
DE266,79635
DE267,84384
DE268,91155
DE269,128743
DE26A,126158
DE26B,115445
DE26C,162302
DE271,296582
DE272,44398
DE273,69151
DE274,44100
DE275,134655
DE276,253468
DE277,96562
DE278,127027
DE279,175204
DE27A,81981
DE27B,141182
DE27C,145341
DE27D,133783
DE27E,156008
DE300,3669491
DE401,72184
DE402,99678
DE403,57751
DE404,180334
DE405,185244
DE406,170791
DE407,101827
DE408,162996
DE409,195751
DE40A,212914
DE40B,109371
DE40C,178803
DE40D,98861
DE40E,216566
DE40F,76158
DE40G,113720
DE40H,169997
DE40I,118947
DE501,567559
DE502,113643
DE600,1847253
DE711,159878
DE712,763380
DE713,130280
DE714,278474
DE715,270340
DE716,297844
DE717,275726
DE718,236914
DE719,420552
DE71A,238558
DE71B,96703
DE71C,355813
DE71D,187160
DE71E,308339
DE721,270688
DE722,253319
DE723,171912
DE724,247084
DE725,105643
DE731,202137
DE732,223145
DE733,120719
DE734,236764
DE735,179673
DE736,156406
DE737,100629
DE803,209191
DE804,95653
DE80J,258074
DE80K,215794
DE80L,224702
DE80M,157322
DE80N,235623
DE80O,211779
DE911,249406
DE912,104291
DE913,124371
DE914,176523
DE916,136292
DE917,91297
DE918,132285
DE91A,134801
DE91B,119622
DE91C,326041
DE922,217089
DE923,148549
DE925,275817
DE926,70458
DE927,121390
DE928,157820
DE929,1157115
DE931,179011
DE932,198038
DE933,254431
DE934,48412
DE935,184139
DE936,113928
DE937,163782
DE938,140673
DE939,204512
DE93A,92389
DE93B,137133
DE941,77559
DE942,49913
DE943,169077
DE944,165251
DE945,76089
DE946,124859
DE947,189694
DE948,170682
DE949,326954
DE94A,98704
DE94B,137162
DE94C,170756
DE94D,130890
DE94E,358080
DE94F,142814
DE94G,88583
DE94H,56926
DEA11,621877
DEA12,498686
DEA13,582760
DEA14,227417
DEA15,261034
DEA16,170632
DEA17,210764
DEA18,111338
DEA19,159245
DEA1A,355100
DEA1B,312465
DEA1C,485570
DEA1D,451730
DEA1E,298863
DEA1F,459976
DEA22,329673
DEA23,1087863
DEA24,163729
DEA26,264638
DEA27,470615
DEA28,193656
DEA29,255555
DEA2A,272057
DEA2B,283271
DEA2C,600764
DEA2D,557026
DEA31,117565
DEA32,259645
DEA33,315293
DEA34,371339
DEA35,220586
DEA36,614137
DEA37,448220
DEA38,277840
DEA41,334195
DEA42,364938
DEA43,250578
DEA44,140251
DEA45,347514
DEA46,310409
DEA47,307839
DEA51,365587
DEA52,588250
DEA53,188686
DEA54,179916
DEA55,156449
DEA56,324106
DEA57,259777
DEA58,410222
DEA59,133955
DEA5A,276944
DEA5B,301785
DEA5C,394891
DEB11,114052
DEB12,130086
DEB13,128805
DEB14,158345
DEB15,80951
DEB17,214434
DEB18,182811
DEB1A,122297
DEB1B,201904
DEB1C,61375
DEB1D,103163
DEB21,111528
DEB22,112483
DEB23,99058
DEB24,60646
DEB25,149398
DEB31,48762
DEB32,100030
DEB33,46881
DEB34,172253
DEB35,218578
DEB36,53264
DEB37,40231
DEB38,50561
DEB39,83542
DEB3A,34193
DEB3B,129687
DEB3C,132671
DEB3D,75325
DEB3E,129013
DEB3F,105979
DEB3G,70219
DEB3H,110521
DEB3I,154609
DEB3J,211417
DEB3K,94831
DEC01,328714
DEC02,103243
DEC03,131408
DEC04,194319
DEC05,142196
DEC06,87007
DED21,556780
DED2C,299758
DED2D,252725
DED2E,241717
DED2F,245586
DED41,246334
DED42,334948
DED43,304099
DED44,225997
DED45,315002
DED51,593145
DED52,258139
DED53,197741
DEE01,80103
DEE02,238762
DEE03,237565
DEE04,83173
DEE05,158486
DEE06,89589
DEE07,170923
DEE08,178846
DEE09,213310
DEE0A,134942
DEE0B,183815
DEE0C,189125
DEE0D,111190
DEE0E,124953
DEF01,90164
DEF02,246794
DEF03,216530
DEF04,80196
DEF05,133193
DEF06,198019
DEF07,165951
DEF08,200539
DEF09,316103
DEF0A,128686
DEF0B,274098
DEF0C,201156
DEF0D,277175
DEF0E,131013
DEF0F,244156
DEG01,213981
DEG02,93125
DEG03,111343
DEG04,36789
DEG05,65228
DEG06,100006
DEG07,83416
DEG09,102232
DEG0A,74212
DEG0B,124916
DEG0C,134908
DEG0D,69427
DEG0E,63197
DEG0F,106249
DEG0G,82156
DEG0H,57717
DEG0I,103199
DEG0J,82950
DEG0K,80312
DEG0L,97398
DEG0M,89393
DEG0N,42250
DEG0P,118974
DK011,794128
DK012,548370
DK013,463942
DK014,39583
DK021,250702
DK022,586657
DK031,498506
DK032,724599
DK041,429211
DK042,897129
DK050,589936
