event_link,event_wikidata_id,event_name,event_sport_wikidata_id,event_sport,event_part_of_wikidata_id,event_part_of,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts0_id,nuts0_name,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts2_population,nuts2_gdp,nuts3_id,nuts3_name,nuts3_population,nuts3_gdp
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_individual_road_race,Q65242242,cycling at the 2020 Summer Olympics – women's individual road race,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,bronze,/wiki/Elisa_Longo_Borghini,Q462480,Elisa Longo Borghini,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1991-12-10,Q6581072,female,Q3639,Verbania,"45.9227777777778,8.55194444444444",45.9227777777778,8.55194444444444,Q16312,Province of Verbano-Cusio-Ossola,IT,Italy,ITC,Nord-Ovest,ITC1,Piemonte,4311217,137781.87,ITC14,Verbano-Cusio-Ossola,156320,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_road_time_trial,Q65242224,cycling at the 2020 Summer Olympics – women's individual time trial,Q39080749,cycling at the 2020 Summer Olympics,Q3609,road bicycle racing,gold,/wiki/Annemiek_van_Vleuten,Q289826,Annemiek van Vleuten,/wiki/Netherlands_at_the_2020_Summer_Olympics,Q50014459,Netherlands at the 2020 Summer Olympics,Q55,Netherlands,1982-10-08,Q6581072,female,Q984079,Vleuten,"52.1081,5.015",52.1081,5.015,Q776,Utrecht,NL,Netherlands,NL3,West-Nederland,NL31,Utrecht,1319231,75838.85,NL310,Utrecht,1319231,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_road_time_trial,Q65242224,cycling at the 2020 Summer Olympics – women's individual time trial,Q39080749,cycling at the 2020 Summer Olympics,Q3609,road bicycle racing,silver,/wiki/Marlen_Reusser,Q30584542,Marlen Reusser,/wiki/Switzerland_at_the_2020_Summer_Olympics,Q42913992,Switzerland at the 2020 Summer Olympics,Q39,Switzerland,1991-09-20,Q6581072,female,Q10341,Jegenstorf,"47.049722222222,7.5069444444444",47.049722222222,7.5069444444444,Q11911,Canton of Bern,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,1886584,NA,CH021,Bern,1039474,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_road_time_trial,Q65242224,cycling at the 2020 Summer Olympics – women's individual time trial,Q39080749,cycling at the 2020 Summer Olympics,Q3609,road bicycle racing,bronze,/wiki/Anna_van_der_Breggen,Q563737,Anna van der Breggen,/wiki/Netherlands_at_the_2020_Summer_Olympics,Q50014459,Netherlands at the 2020 Summer Olympics,Q55,Netherlands,1990-04-18,Q6581072,female,Q793,Zwolle,"52.516666666667,6.1",52.516666666667,6.1,Q773,Overijssel,NL,Netherlands,NL2,Oost-Nederland,NL21,Overijssel,1162406,45517,NL211,Noord-Overijssel,374659,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,gold,/wiki/Jeffrey_Hoogland,Q15907021,Jeffrey Hoogland,/wiki/Netherlands_at_the_2020_Summer_Olympics,Q50014459,Netherlands at the 2020 Summer Olympics,Q55,Netherlands,1993-03-16,Q6581097,male,Q10005,Hellendoorn,"52.3885,6.4497",52.3885,6.4497,Q773,Overijssel,NL,Netherlands,NL2,Oost-Nederland,NL21,Overijssel,1162406,45517,NL213,Twente,631064,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,gold,/wiki/Harrie_Lavreysen,Q27656316,Harrie Lavreysen,/wiki/Netherlands_at_the_2020_Summer_Olympics,Q50014459,Netherlands at the 2020 Summer Olympics,Q55,Netherlands,1997-03-14,Q6581097,male,Q2360275,Luyksgestel,"51.29,5.3239",51.29,5.3239,Q9812,Bergeijk,NL,Netherlands,NL4,Zuid-Nederland,NL41,Noord-Brabant,2562955,120868.9,NL414,Zuidoost-Noord-Brabant,780611,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,gold,/wiki/Roy_van_den_Berg,Q2170928,Roy van den Berg,/wiki/Netherlands_at_the_2020_Summer_Olympics,Q50014459,Netherlands at the 2020 Summer Olympics,Q55,Netherlands,1988-09-08,Q6581097,male,Q10014,Kampen,"52.555,5.9197222222222",52.555,5.9197222222222,Q23814173,Kampen,NL,Netherlands,NL2,Oost-Nederland,NL21,Overijssel,1162406,45517,NL211,Noord-Overijssel,374659,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,silver,/wiki/Jack_Carlin,Q27656390,Jack Carlin,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1997-04-23,Q6581097,male,Q211870,Paisley,"55.85,-4.4333333333333",55.85,-4.4333333333333,Q211091,Renfrewshire,UK,NA,UKM,Scotland,UKM8,West Central Scotland,NA,NA,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,silver,/wiki/Jason_Kenny,Q460643,Jason Kenny,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1988-03-23,Q6581097,male,Q184579,Bolton,"53.583333333333,-2.4333333333333",53.583333333333,-2.4333333333333,Q1364541,Bolton,UK,NA,UKD,North West (England),UKD3,Greater Manchester,NA,NA,UKD36,Greater Manchester North West,NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,silver,/wiki/Ryan_Owens_(cyclist),Q27830849,Ryan Owens,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1995-09-29,Q6581097,male,Q39121,Leeds,"53.799722222222,-1.5491666666667",53.799722222222,-1.5491666666667,Q774015,Leeds,UK,NA,UKE,Yorkshire and the Humber,UKE4,West Yorkshire,NA,NA,UKE42,Leeds,NA,NA
